street,type,date,total_records
Arah Indramayu/Jakarta,JAM,7/27/2022,31
Ariodinoto,JAM,8/29/2022,3
Ariodinoto,JAM,8/29/2022,30
Bima,JAM,8/22/2022,31
Ciremai Giri,JAM,7/19/2022,15
Ciremai Giri,JAM,7/19/2022,16
Dokter Cipto Mangunkusumo,JAM,7/17/2022,4
Dokter Cipto Mangunkusumo,JAM,8/12/2022,1
Dokter Cipto Mangunkusumo,JAM,8/6/2022,7
Dokter Cipto Mangunkusumo,JAM,8/12/2022,1
Dokter Cipto Mangunkusumo,JAM,8/12/2022,1
Dokter Cipto Mangunkusumo,JAM,8/12/2022,1
Dokter Cipto Mangunkusumo,JAM,8/12/2022,1
Dokter Cipto Mangunkusumo,JAM,8/12/2022,1
Dokter Cipto Mangunkusumo,JAM,8/13/2022,2
Dokter Cipto Mangunkusumo,JAM,8/13/2022,2
Dokter Cipto Mangunkusumo,JAM,8/13/2022,17
Dokter Cipto Mangunkusumo,JAM,8/13/2022,2
Dokter Cipto Mangunkusumo,JAM,8/13/2022,2
Dokter Cipto Mangunkusumo,JAM,8/31/2022,5
Dokter Cipto Mangunkusumo,JAM,7/28/2022,41
Dokter Cipto Mangunkusumo,JAM,7/12/2022,30
Dokter Cipto Mangunkusumo,JAM,7/16/2022,27
Dokter Cipto Mangunkusumo,JAM,9/4/2022,75
Dokter Cipto Mangunkusumo,JAM,7/25/2022,17
Dokter Cipto Mangunkusumo,JAM,8/31/2022,27
Dokter Cipto Mangunkusumo,JAM,7/25/2022,14
Dokter Cipto Mangunkusumo,JAM,7/17/2022,27
Dokter Cipto Mangunkusumo,JAM,8/12/2022,24
Dr Wahidin Sudirohusodo,JAM,7/28/2022,2
Dr Wahidin Sudirohusodo,JAM,7/28/2022,14
Dr Wahidin Sudirohusodo,JAM,8/12/2022,13
Dr Wahidin Sudirohusodo,WEATHERHAZARD,8/12/2022,29
Exit 203 : Ciperna/Cirebon/Kuningan,JAM,7/9/2022,6
Gang Kemakmuran,JAM,8/30/2022,26
Gang Kemakmuran,JAM,8/30/2022,5
Gang Menur,JAM,7/28/2022,30
Gudang,JAM,7/6/2022,6
Gudang,JAM,7/6/2022,26
Hakabepe,JAM,8/25/2022,9
Hakabepe,JAM,8/25/2022,23
Indah,JAM,9/4/2022,9
Indah,JAM,9/4/2022,22
Jagasatru,JAM,7/16/2022,14
Jagasatru,JAM,7/16/2022,18
Jalan Lapangan Udara,WEATHERHAZARD,8/18/2022,14
Jalan Lapangan Udara,WEATHERHAZARD,8/18/2022,16
Kalitanjung,JAM,7/16/2022,16
Kalitanjung,JAM,7/16/2022,17
Kalitanjung,JAM,7/23/2022,12
Kalitanjung,JAM,7/23/2022,20
Kanoman,JAM,7/8/2022,7
Karanggetas,JAM,7/24/2022,31
Karanggetas,JAM,8/13/2022,15
Karanggetas,JAM,8/15/2022,29
Karanggetas,JAM,7/18/2022,14
Karanggetas,JAM,7/18/2022,17
Karanggetas,JAM,8/13/2022,17
Kecapi Mas 5,JAM,8/10/2022,32
Kenduruan,WEATHERHAZARD,7/26/2022,61
Kenduruan,WEATHERHAZARD,8/2/2022,58
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,7/30/2022,60
Kenduruan,WEATHERHAZARD,8/2/2022,61
