street,level,median_length,median_delay,median_speed_kmh,total_records,date
N14 Jenderal Sudirman,2,1233,71,24.74,7,7/6/2022
N14 Jenderal Sudirman,1,793,60.5,21.029999,4,7/6/2022
N14 Jenderal Sudirman,1,1319,88,23.12,11,7/6/2022
N14 Jenderal Sudirman,2,875,86,18.64,13,7/6/2022
N14 Jenderal Sudirman,2,1942,191,21.295,12,7/6/2022
N14 Jenderal Sudirman,1,1192,61,25.74,11,7/6/2022
N14 Jenderal Sudirman,2,1824,123,21.18,47,7/6/2022
N14 Jenderal Sudirman,3,704,165.5,10.695,12,7/6/2022
N14 Jenderal Sudirman,3,1824,325,12.04,11,7/6/2022
N14 Jenderal Sudirman,4,684,312,6.54,5,7/6/2022
N14 Jenderal Sudirman,1,1543,106,22.52,7,7/6/2022
N14 Jenderal Sudirman,2,1318,131,19.69,51,7/6/2022
N14 Jenderal Sudirman,1,1461,99,23.08,15,7/6/2022
N14 Jenderal Sudirman,2,717,90,19.255,28,7/6/2022
N14 Jenderal Sudirman,3,701,267,7.73,19,7/6/2022
N14 Jenderal Sudirman,4,717,343,6.28,15,7/6/2022
N14 Jenderal Sudirman,1,1325,60,29.68,1,7/6/2022
N14 Jenderal Sudirman,2,717,98,17.765,62,7/6/2022
N14 Jenderal Sudirman,3,946,262.5,9.99,56,7/6/2022
N14 Jenderal Sudirman,1,1322,74.5,23.939999,14,7/6/2022
N14 Jenderal Sudirman,2,1307,114,18.765,66,7/6/2022
N14 Jenderal Sudirman,3,1917,212,17.8,21,7/6/2022
N14 Jenderal Sudirman,4,440,214,6.49,13,7/6/2022
N14 Jenderal Sudirman,1,1325,65,28.89,8,7/6/2022
N14 Jenderal Sudirman,2,1021,145,18.15,28,7/6/2022
N14 Jenderal Sudirman,3,704,156,10.86,46,7/6/2022
N14 Jenderal Sudirman,4,946,494,5.69,25,7/6/2022
N14 Jenderal Sudirman,2,1975,139,20.11,31,7/6/2022
N14 Jenderal Sudirman,3,737,184,10.31,39,7/6/2022
